Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S72,Rolf Altenburger,Luis Mitrovic Balbontín,07-11-1936,1936.0,European (1934–1938),#9B59B6,"Wuppertal, Germany","Vienna, Austria",51.2562,7.1508,48.2082,16.3738,1936 · Rolf Altenburger → Luis Mitrovic Balbontín
S73,Rolf Altenburger,Luis Mitrovic Balbontín,29-07-1936,1936.0,European (1934–1938),#9B59B6,"Solothurn, Switzerland","Porto, Portugal",47.2088,7.536,41.1579,-8.6291,1936 · Rolf Altenburger → Luis Mitrovic Balbontín
S76,Rolf Altenburger,Luis Mitrovic Balbontín,02-11-1989,1989.0,Chilean (1938–1970 / 1986–2008),#16A085,"Solothurn, Switzerland","Santiago, Chile",47.2088,7.536,-33.4489,-70.6693,1989 · Rolf Altenburger → Luis Mitrovic Balbontín
S77,Rolf Altenburger,Luis Mitrovic Balbontín,01-10-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Solothurn, Switzerland","Santiago, Chile",47.2088,7.536,-33.4489,-70.6693,1991 · Rolf Altenburger → Luis Mitrovic Balbontín
S78,Rolf Altenburger,Luis Mitrovic Balbontín,11-07-1937,1937.0,European (1934–1938),#9B59B6,"Solothurn, Switzerland","Antwerp, Belgium",47.2088,7.536,51.2194,4.4025,1937 · Rolf Altenburger → Luis Mitrovic Balbontín
S79,Rolf Altenburger,Luis Mitrovic Balbontín,30-06-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Solothurn, Switzerland","Santiago, Chile",47.2088,7.536,-33.4489,-70.6693,1991 · Rolf Altenburger → Luis Mitrovic Balbontín
S80,Rolf Altenburger,Luis Mitrovic Balbontín,18-03-1936,1936.0,European (1934–1938),#9B59B6,"Dusseldorf, Germany","Weimar, Germany",51.2217,6.7762,50.9795,11.3235,1936 · Rolf Altenburger → Luis Mitrovic Balbontín
S81,Rolf Altenburger,Luis Mitrovic Balbontín,07-09-1936,1936.0,European (1934–1938),#9B59B6,"Solothurn, Switzerland","London, UK",47.2088,7.536,51.5074,-0.1278,1936 · Rolf Altenburger → Luis Mitrovic Balbontín
S82,Rolf Altenburger,Luis Mitrovic Balbontín,01-01-1936,1936.0,European (1934–1938),#9B59B6,"Solothurn, Switzerland","Weimar, Germany",47.2088,7.536,50.9795,11.3235,1936 · Rolf Altenburger → Luis Mitrovic Balbontín
S83,Rolf Altenburger,Luis Mitrovic Balbontín,20-03-1937,1937.0,European (1934–1938),#9B59B6,"Wuppertal, Germany","Vienna, Austria",51.2562,7.1508,48.2082,16.3738,1937 · Rolf Altenburger → Luis Mitrovic Balbontín
S84,Rolf Altenburger,Luis Mitrovic Balbontín,26-01-1937,1937.0,European (1934–1938),#9B59B6,"Wuppertal, Germany","Vienna, Austria",51.2562,7.1508,48.2082,16.3738,1937 · Rolf Altenburger → Luis Mitrovic Balbontín
S87,Friedrich Oetzmann,Luis Mitrovic Balbontín,31-12-1935,1935.0,European (1934–1938),#9B59B6,"Valparaíso, Chile","Weimar, Germany",-33.0472,-71.6127,50.9795,11.3235,1935 · Friedrich Oetzmann → Luis Mitrovic Balbontín
S88,,,01-01-1935,1935.0,European (1934–1938),#9B59B6,"Vienna, Austria","Vienna, Austria",48.2082,16.3738,48.2082,16.3738,1935 · nan → nan
